出版年	记录数	2,692,311的百分位
2021	93177	3.461
2020	88921	3.303
2019	82988	3.082
2018	78897	2.930
2017	77422	2.876
2016	75811	2.816
2013	75430	2.802
2004	75257	2.795
2006	74902	2.782
2005	74893	2.782
2003	74880	2.781
2014	74060	2.751
2012	73903	2.745
2015	73593	2.733
2011	73507	2.730
2008	73506	2.730
2007	73375	2.725
2002	72921	2.708
2009	72717	2.701
2000	71944	2.672
2010	71594	2.659
2001	71593	2.659
1999	70140	2.605
1998	67991	2.525
1997	64135	2.382
1996	62359	2.316
2022	56627	2.103
1995	52555	1.952
1994	50427	1.873
1993	47805	1.776
1992	45850	1.703
1991	43980	1.634
1990	40220	1.494
1989	38500	1.430
1988	35954	1.335
1987	34606	1.285
1986	32184	1.195
1985	30653	1.139
1984	28584	1.062
1983	27220	1.011
1982	25557	0.949
1981	24888	0.924
1980	23332	0.867
1979	19633	0.729
1978	19268	0.716
1977	17585	0.653
1976	14903	0.554
1975	13587	0.505
1974	13112	0.487
1973	12226	0.454
1972	1879	0.070
1970	129	0.005
1971	81	0.003
1930	56	0.002
1931	52	0.002
1935	49	0.002
1933	47	0.002
1924	44	0.002
1936	44	0.002
1925	43	0.002
1938	43	0.002
1937	42	0.002
1927	41	0.002
1932	40	0.001
1928	37	0.001
1939	35	0.001
1929	34	0.001
1934	34	0.001
1926	32	0.001
1923	30	0.001
1940	29	0.001
1917	28	0.001
1921	27	0.001
1918	26	0.001
1941	25	0.001
1920	20	0.001
1922	20	0.001
1916	19	0.001
1919	15	0.001
1913	13	0.000
1968	11	0.000
1912	9	0.000
1915	8	0.000
1969	8	0.000
1901	7	0.000
1911	7	0.000
1914	7	0.000
1900	6	0.000
1902	6	0.000
1908	6	0.000
1943	6	0.000
1944	6	0.000
1966	6	0.000
1909	5	0.000
1967	5	0.000
1904	4	0.000
1910	3	0.000
1942	3	0.000
1965	3	0.000
1905	2	0.000
1964	2	0.000
1903	1	0.000
1906	1	0.000
1907	1	0.000
1948	1	0.000
1955	1	0.000
